doctor_id,doctor_name,qualification,specialty,clinic_or_affiliation,hospital_id,affiliation_source,experience_years_SIMULATED,consultation_minutes_SIMULATED,available_now_SIMULATED,current_queue_SIMULATED,max_daily_patients_SIMULATED,workload_percent_SIMULATED,emergency_available_SIMULATED,teleconsultation_SIMULATED,rating_SIMULATED
D034,Dr. M.K. Agarwal,MBBS,General Medicine,"Kalyanpur, Kanpur",H014,SIMULATED demo assignment,26,20,False,0,36,46,False,True,4.2
D035,Dr. Mayuri Agarwal,"MBBS, MD (Medicine)",General Medicine,Kanpur,H015,SIMULATED demo assignment,29,25,True,3,42,53,True,True,4.3
D036,Dr. Neha Agarwal,"MBBS, MD (Paediatrics)",Paediatrics,"CGHS, Kanpur",H016,SIMULATED demo assignment,6,30,False,6,18,60,True,True,4.3
D037,Dr. Pawan Agarwal,"MBBS, DA (Anaesthesia)",Anaesthesiology,"CHC, Chaubeypur, Kanpur",H017,SIMULATED demo assignment,9,15,True,0,24,67,False,False,3.8
D038,Dr. Pradeep Agarwal,MBBS,General Medicine,"Barra-2, Kanpur",H018,SIMULATED demo assignment,12,20,True,3,30,74,True,True,3.8
D039,Dr. Pratibha Agarwal,MBBS,General Medicine,"Barra-2, Kanpur",H019,SIMULATED demo assignment,15,25,True,6,36,81,True,True,3.9
D040,Dr. Pradumn Agarwal,"MBBS, MS (Ophthalmics)",Ophthalmology,"Kidwai Nagar, Kanpur",H020,SIMULATED demo assignment,18,30,True,0,42,88,False,True,3.9
D041,Dr. Punit Agarwal,"MBBS, MD, DM, FCCN (Neurology)",Neurology,Kanpur,H001,SIMULATED demo assignment,21,15,False,3,18,25,True,False,4.0
D042,Dr. Rahul Agarwal,"MBBS, DNB (Ortho)",Orthopaedics,"Baradevi Chauraha, Kanpur",H002,SIMULATED demo assignment,24,20,True,6,24,32,True,True,4.0
D043,Dr. Neha Agarwal,"MBBS, MS (Obst. & Gyne.)",Obstetrics & Gynaecology,"Baradevi Chauraha, Kanpur",H003,SIMULATED demo assignment,27,25,False,0,30,39,False,True,4.1
D044,Dr. Rajesh Agarwal,MBBS,General Medicine,"Regency Hospital, Kanpur",H004,SIMULATED demo assignment,30,30,True,3,36,46,True,True,4.1
D045,Dr. Rajesh Kumar Agarwal,"MBBS, MS FIOS (Oncosurgery)",Surgical Oncology,Ratan Cancer Hospital & Institute,H007,publicly listed affiliation,7,15,True,6,42,53,True,False,4.2
D046,Dr. Richa Agarwal,"MBBS, MD, MNCCPI (TB & Chest)",Pulmonology,Dr. O.P. Mittal Memorial Chest Clinic,H006,SIMULATED demo assignment,10,20,True,0,18,60,False,True,4.2
D047,Dr. Rajiv Agarwal,"MBBS, MS (Orthopaedics)",Orthopaedics,"Model Town, Kanpur",H007,SIMULATED demo assignment,13,25,True,3,24,67,True,True,4.3
D048,Dr. Rajni Agarwal,"MBBS, DM (Obst. & Gyne.)",Obstetrics & Gynaecology,Kanpur,H008,SIMULATED demo assignment,16,30,False,6,30,74,True,True,4.3
D049,Dr. Rakesh Kumar Agarwal,"MBBS, DMRD",Radiology,Kanpur,H009,SIMULATED demo assignment,19,15,True,0,36,81,False,False,3.8
D050,Dr. S.C. Agarwal,"MBBS, DVD (Skin & VD)",Dermatology,"Swaroop Nagar, Kanpur",H010,SIMULATED demo assignment,22,20,False,3,42,88,True,True,3.8
D051,Dr. Sameer Agarwal,"MBBS, MD (Medicine)",General Medicine,"Deo Nagar, Kanpur",H011,SIMULATED demo assignment,25,25,True,6,18,25,True,True,3.9
D052,Dr. Surekha Agarwal,"MBBS, MD (Paediatrics)",Paediatrics,"Jajmau, Kanpur",H012,SIMULATED demo assignment,28,30,True,0,24,32,False,True,3.9
D053,Dr. Sanjay Agarwal,"MBBS, MS (ENT)",ENT,"Baradevi Chauraha, Kanpur",H013,SIMULATED demo assignment,5,15,True,3,30,39,True,False,4.0
D054,Dr. Priya Agarwal,"MBBS, DGO (Obst. & Gynae.)",Obstetrics & Gynaecology,"Kidwai Nagar, Kanpur",H014,SIMULATED demo assignment,8,20,True,6,36,46,True,True,4.0
D055,Dr. Saurabh Agarwal,"MBBS, MD (Medicine)",General Medicine,"Dept. of Medicine, GSVM Medical College",H001,publicly listed affiliation,11,25,False,0,42,53,False,True,4.1
D056,Dr. Shubha Agarwal,MS (Obst. & Gynae.),Obstetrics & Gynaecology,Kanpur,H016,SIMULATED demo assignment,14,30,True,3,18,60,True,True,4.1
D057,Dr. Uma Agarwal,"MBBS, MS (Ophthalmology)",Ophthalmology,"Ashok Nagar, Kanpur",H017,SIMULATED demo assignment,17,15,False,6,24,67,True,False,4.2
D058,Dr. Umesh Kumar Agarwal,"MBBS, D. Orth",Orthopaedics,"ESI Hospital, Pandu Nagar",H018,SIMULATED demo assignment,20,20,True,0,30,74,False,True,4.2
D059,Dr. V.B. Agarwal,"MBBS, MD (TB & Chest)",Pulmonology,Kanpur,H019,SIMULATED demo assignment,23,25,True,3,36,81,True,True,4.3
D060,Dr. Pratibha Agarwal,"MBBS, DGO (Obst. & Gyne.)",Obstetrics & Gynaecology,Kanpur,H020,SIMULATED demo assignment,26,30,True,6,42,88,True,True,4.3
D061,Dr. Akshay Agnihotri,"MBBS, MS (Orthopaedics)",Orthopaedics,Kanpur,H001,SIMULATED demo assignment,29,15,True,0,18,25,False,False,3.8
D062,Dr. Mamta Agnihotri,"MBBS, MS (Obst. & Gyne.)",Obstetrics & Gynaecology,Kanpur,H002,SIMULATED demo assignment,6,20,False,3,24,32,True,True,3.8
D063,Dr. Neerja Agnihotri,"MBBS, DGO (Obst. & Gyne.)",Obstetrics & Gynaecology,Kanpur,H003,SIMULATED demo assignment,9,25,True,6,30,39,True,True,3.9
D064,Dr. Prem Kumar Agnihotri,MBBS,General Medicine,"Sewa Chandra Prabha Hospital, Barra",H004,SIMULATED demo assignment,12,30,False,0,36,46,False,True,3.9
D065,Dr. R.C. Agnihotri,"MBBS, DCP (Pathology)",Pathology,Universal Pathology Lab & Blood Bank,H005,SIMULATED demo assignment,15,15,True,3,42,53,True,False,4.0
D066,Dr. Meera Agnihotri,"DGO, MS (Obst. & Gyne), MAMS, FICOG, FICS, FICMCH",Obstetrics & Gynaecology,"Jeevani Hospital, Swaroop Nagar",H007,publicly listed affiliation,18,20,True,6,18,60,True,True,4.0
D067,Dr. Srivar Agnihotri,"MBBS, D. Orth. (Orthopedics)",Orthopaedics,Kanpur,H007,SIMULATED demo assignment,21,25,True,0,24,67,False,True,4.1
D068,Dr. A.K. Agrahari,MBBS,General Medicine,"Dwarikadheesh Road, Kanpur",H008,SIMULATED demo assignment,24,30,True,3,30,74,True,True,4.1
D069,Dr. Amit Agrawal,"MBBS, MS, DNB, M.Ch (Orthopaedics)",Orthopaedics,Satya Trauma Maternity Centre,H009,SIMULATED demo assignment,27,15,False,6,36,81,True,False,4.2
D070,Dr. Manisha Agrawal,"MBBS, MS, DNB, FICMCH (Obst. & Gynae.)",Obstetrics & Gynaecology,Satya Trauma Maternity Centre,H010,SIMULATED demo assignment,30,20,True,0,42,88,False,True,4.2
D071,Dr. Anoop Agrawal,"MBBS, MS (Orthopaedics)",Orthopaedics,"Ortho Clinic, Vijay Nagar",H011,SIMULATED demo assignment,7,25,False,3,18,25,True,True,4.3
D072,Dr. Asha Agrawal,"MBBS, DA (Anaesthesia)",Anaesthesiology,"Regency Hospital, Sarvodaya Nagar",H004,publicly listed affiliation,10,30,True,6,24,32,True,True,4.3
D073,Dr. Anshuman Agrawal,"MBBS, DNB, MNAMS (Ophthalmics)",Ophthalmology,"Eye Care Centre, The Mall",H013,SIMULATED demo assignment,13,15,True,0,30,39,False,False,3.8
D074,Dr. Titiksha Agrawal,MS (Ophthalmics),Ophthalmology,"Eye Care Centre, The Mall",H014,SIMULATED demo assignment,16,20,True,3,36,46,True,True,3.8
D075,Dr. Ashish Agrawal,"MBBS, MS (Ophthalmology)",Ophthalmology,Regency Super Speciality Hospital,H004,publicly listed affiliation,19,25,True,6,42,53,True,True,3.9
D076,Dr. Shipra Agrawal,"MBBS, MD (Anaesthesia)",Anaesthesiology,"Regency Hospital, Sarvodaya Nagar",H004,publicly listed affiliation,22,30,False,0,18,60,False,True,3.9
D077,Dr. Devi Prasad Agrawal,"MBBS, MD (Medicine)",General Medicine,"Swaroop Nagar, Kanpur",H017,SIMULATED demo assignment,25,15,True,3,24,67,True,False,4.0
D078,Dr. Deepak Agrawal,"MBBS, MS (Surgery)",General Surgery,"Swaroop Nagar, Kanpur",H018,SIMULATED demo assignment,28,20,False,6,30,74,True,True,4.0
D079,Dr. Gulab Chandra Agrawal,"MBBS, FCGP",General Medicine,"Meston Road, Kanpur",H019,SIMULATED demo assignment,5,25,True,0,36,81,False,True,4.1
D080,Dr. Hari Ram Agrawal,"MBBS, DMRE, FICRI (Radiodiagnosis)",Radiology,"New Leelamani Hospital, Civil Lines",H004,publicly listed affiliation,8,30,True,3,42,88,True,True,4.1
D081,Dr. Pawan Kumar Agrawal,"MBBS, MD (Radiodiagnosis)",Radiology,"Benajhavar Road, Kanpur",H001,SIMULATED demo assignment,11,15,True,6,18,25,True,False,4.2
D082,Dr. Pooja Agrawal,"MBBS, MD (Pharmacology)",Pharmacology,GSVM Medical College,H002,SIMULATED demo assignment,14,20,True,0,24,32,False,True,4.2
D083,Dr. Pramod Kumar Agrawal,"MBBS, M.S. (Surgery)",General Surgery,"Kulwanti Hospital, Kanpur",H008,publicly listed affiliation,17,25,False,3,30,39,True,True,4.3
D084,Dr. Neerja Agrawal,MBBS,General Medicine,"Darshanpurwa, Kanpur",H004,SIMULATED demo assignment,20,30,True,6,36,46,True,True,4.3
D085,Dr. Ratan Agrawal,"MBBS, MS (Surgery)",General Surgery,"S.R. Hospital, Kidwai Nagar",H005,SIMULATED demo assignment,23,15,False,0,42,53,False,False,3.8
D086,Dr. Rohit Agrawal,"MBBS, MD (Paediatrics)",Paediatrics,"Lakshya Hospital, Kidwai Nagar",H016,publicly listed affiliation,26,20,True,3,18,60,True,True,3.8
D087,Dr. Tripti Agrawal,"MBBS, MS (Obst. & Gyne.)",Obstetrics & Gynaecology,"Agrawal Clinic, Shivaji Nagar",H007,SIMULATED demo assignment,29,25,True,6,24,67,True,True,3.9
D088,Dr. Sunil Kumar Agrawal,"MBBS, MD (Paediatrics)",Paediatrics,Kanpur,H008,SIMULATED demo assignment,6,30,True,0,30,74,False,True,3.9
D089,Dr. Sunita Agrawal,"MBBS, DGO",Obstetrics & Gynaecology,"Sarvodaya Nagar, Kanpur",H009,SIMULATED demo assignment,9,15,True,3,36,81,True,False,4.0
D090,Dr. Vaibhav Agrawal,"MBBS, MD (Path.)",Pathology,"Regency Hospital, Sarvodaya Nagar",H004,publicly listed affiliation,12,20,False,6,42,88,True,True,4.0
D091,Dr. Roshni Agrawal,"MBBS, MD (Microbiology)",Microbiology,"Regency Hospital, Sarvodaya Nagar",H004,publicly listed affiliation,15,25,True,0,18,25,False,True,4.1
D092,Dr. Vineet Agrawal,"MBBS, MD (Paediatrics)",Paediatrics,Kanpur,H012,SIMULATED demo assignment,18,30,False,3,24,32,True,True,4.1
D093,Dr. Vishal Agrawal,"MBBS, MS (Orthopaedics)",Orthopaedics,"Astha Clinic, The Mall",H013,SIMULATED demo assignment,21,15,True,6,30,39,True,False,4.2
D094,Dr. Iqbal Ahmad,"MBBS, MD (Medicine)",General Medicine,Kanpur,H014,SIMULATED demo assignment,24,20,True,0,36,46,False,True,4.2
D095,Dr. Ishtiaque Ahmad,"MBBS, DCH",Paediatrics,"Bindki, Fatehpur",H015,SIMULATED demo assignment,27,25,True,3,42,53,True,True,4.3
D096,Dr. Jamal Uddin Ahmad,MBBS,General Medicine,"Apollo Hospital, Chunniganj, Kanpur",H005,publicly listed affiliation,30,30,True,6,18,60,True,True,4.3
D097,Dr. Jamil Ahmad,"MBBS, MS (Surgery)",General Surgery,Mahsa Hospital & Mohammadia Hospital,H017,SIMULATED demo assignment,7,15,False,0,24,67,False,False,3.8
D098,Dr. Faujia Jamil,"MBBS, DGO (Obst. & Gyne.)",Obstetrics & Gynaecology,"UFWC Humanyu Bagh, Kanpur",H018,SIMULATED demo assignment,10,20,True,3,30,74,True,True,3.8
D099,Dr. Mohd. Ahmad,"MBBS, MD, DM (Cardiology)",Cardiology,"Institute of Cardiology, Kanpur",H001,publicly listed affiliation,13,25,False,6,36,81,True,True,3.9
D100,Dr. Rana Ahmad,"MBBS, MS, DGO (Obst. & Gyne.)",Obstetrics & Gynaecology,"Faize-am Charitable Hospital, Parade",H020,SIMULATED demo assignment,16,30,True,0,42,88,False,True,3.9
